Protocol ID,Protocol name,Measurement date & time,Completion status,Run ID,Rack,Det,Pos,Time,Sample code,Cr-51 Counts,Cr-51 CPM,Cr-51 Error %,Cr-51 Info
5,Cr-51 Clearance,2016-08-17 16:36:50,0,4821,1,1,1,3600.16,,4709,2.69,60.99,I
5,Cr-51 Clearance,2016-08-17 17:37:04,0,4821,1,1,2,390.55,,10001.07,1462.41,2.62,
5,Cr-51 Clearance,2016-08-17 17:43:49,0,4821,1,1,3,388.54,,9993.11,1469.31,2.61,
5,Cr-51 Clearance,2016-08-17 17:50:31,0,4821,1,1,4,3600.16,,4674.29,2.11,68.85,I
5,Cr-51 Clearance,2016-08-17 18:50:45,0,4821,1,1,5,229.56,,10097.07,2569.67,1.98,
5,Cr-51 Clearance,2016-08-17 18:55:20,0,4821,2,1,1,285.91,,10054.6,2039.47,2.22,
5,Cr-51 Clearance,2016-08-17 19:00:20,0,4821,2,1,2,356.34,,10013,1614.42,2.49,
5,Cr-51 Clearance,2016-08-17 19:06:30,0,4821,2,1,3,471.06,,10015.76,1203.24,2.89,
5,Cr-51 Clearance,2016-08-17 19:14:35,0,4821,2,1,4,626.02,,10000.91,885.27,3.37,
5,Cr-51 Clearance,2016-08-17 19:25:15,0,4821,2,1,5,756.82,,10003.81,719.52,3.73,
5,Cr-51 Clearance,2016-08-17 19:39:00,0,4821,3,1,1,398.61,,10034.67,1439.4,2.64,
5,Cr-51 Clearance,2016-08-17 19:45:52,0,4821,3,1,2,394.59,,10027.83,1453.99,2.63,
